timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-11T07:53:56.858Z,00:00:10.00,10.00,12000,1199.52,12000,1199.52,3243.39,1199.52,3243.39
2025-09-11T07:54:06.869Z,00:00:20.01,20.01,33000,1648.87,33000,2097.98,7621.19,1648.75,5432.29
2025-09-11T07:54:16.902Z,00:00:30.05,30.05,54000,1797.17,54000,2092.98,14340.21,1796.83,8401.60
2025-09-11T07:54:26.913Z,00:00:40.06,40.06,74000,1847.28,74000,1997.65,22339.15,1847.03,11885.99
2025-09-11T07:54:36.926Z,00:00:50.07,50.07,98000,1957.28,98000,2397.49,28455.76,1957.12,15199.94
2025-09-11T07:54:46.944Z,00:01:00.08,60.08,137000,2280.13,137000,3894.25,32458.97,2279.98,18076.45
2025-09-11T07:54:56.960Z,00:01:10.10,70.10,175000,2496.44,175000,3794.04,35454.92,2496.27,20559.09
2025-09-11T07:55:06.975Z,00:01:20.12,80.12,207000,2583.66,207000,3193.99,35351.51,2583.49,22408.14
2025-09-11T07:55:16.991Z,00:01:30.13,90.13,244000,2707.20,244000,3695.82,37508.36,2707.08,24085.94
2025-09-11T07:55:27.008Z,00:01:40.15,100.15,286000,2855.80,286000,4192.80,36418.73,2855.65,25319.22
2025-09-11T07:55:37.024Z,00:01:50.17,110.17,321000,2913.77,321000,3493.29,32695.86,3085.03,28264.47
2025-09-11T07:55:47.041Z,00:02:00.18,120.18,354000,2945.60,354000,3295.79,30809.95,3204.81,30583.34
2025-09-11T07:55:57.051Z,00:02:10.20,130.20,387000,2972.42,387000,3294.16,34322.80,3324.93,32581.60
2025-09-11T07:56:07.067Z,00:02:20.21,140.21,426000,3038.35,426000,3895.85,32833.89,3514.75,33631.08
2025-09-11T07:56:17.078Z,00:02:30.22,150.22,466000,3102.06,466000,3993.99,37229.85,3674.40,34508.48
2025-09-11T07:56:27.094Z,00:02:40.23,160.23,502000,3132.91,502000,3595.82,32238.85,3644.56,34486.47
2025-09-11T07:56:37.110Z,00:02:50.25,170.25,535000,3142.41,535000,3294.32,31109.50,3594.58,34051.93
2025-09-11T07:56:47.124Z,00:03:00.27,180.27,572000,3173.11,572000,3695.00,30783.10,3644.69,33595.09
2025-09-11T07:56:57.131Z,00:03:10.28,190.28,609000,3200.55,609000,3694.58,32380.29,3644.56,33082.28
2025-09-11T07:57:07.137Z,00:03:20.29,200.29,640000,3195.43,640000,3098.04,33515.19,3535.08,32791.93
2025-09-11T07:57:17.151Z,00:03:30.29,210.29,682000,3243.09,682000,4197.05,33780.39,3605.46,32900.38
2025-09-11T07:57:27.158Z,00:03:40.31,220.31,716000,3250.02,716000,3395.49,34662.17,3615.43,33285.60
2025-09-11T07:57:37.168Z,00:03:50.31,230.31,752000,3265.12,752000,3597.57,31050.97,3645.77,32958.42
2025-09-11T07:57:47.185Z,00:04:00.32,240.32,786000,3270.60,786000,3396.58,29906.57,3595.84,32665.69
2025-09-11T07:57:57.199Z,00:04:10.34,250.34,825000,3295.48,825000,3892.25,29781.73,3585.67,31920.88
2025-09-11T07:58:07.210Z,00:04:20.36,260.36,855000,3283.97,855000,2996.33,30073.54,3525.72,31704.35
2025-09-11T07:58:17.225Z,00:04:30.37,270.37,898000,3321.43,898000,4295.79,29774.28,3625.87,31570.82
2025-09-11T07:58:27.238Z,00:04:40.38,280.38,932000,3324.07,932000,3395.09,30508.21,3595.88,31543.33
2025-09-11T07:58:37.250Z,00:04:50.40,290.40,969000,3336.82,969000,3693.93,28793.23,3595.81,31184.63
2025-09-11T07:58:47.263Z,00:05:00.41,300.41,1006000,3348.81,1006000,3696.64,28060.44,3655.67,30639.15
2025-09-11T07:58:57.278Z,00:05:10.42,310.42,1036000,3337.42,1036000,2995.72,31791.75,3535.54,30440.29
2025-09-11T07:59:07.298Z,00:05:20.43,320.43,1086000,3389.15,1086000,4992.56,29233.65,3695.25,29897.44
2025-09-11T07:59:17.316Z,00:05:30.45,330.45,1141000,3452.83,1141000,5489.22,23799.29,3884.41,29172.27
2025-09-11T07:59:27.325Z,00:05:40.47,340.47,1178000,3459.91,1178000,3693.47,15751.14,3914.10,27756.73
2025-09-11T07:59:37.328Z,00:05:50.48,350.48,1178000,3361.10,1178000,0.00,0.00,3524.87,24778.55
2025-09-11T07:59:47.330Z,00:06:00.48,360.48,1178000,3267.84,1178000,0.00,0.00,3225.24,21771.20
2025-09-11T07:59:57.333Z,00:06:10.49,370.49,1178000,3179.61,1178000,0.00,0.00,2795.66,18793.77
2025-09-11T08:00:07.335Z,00:06:20.49,380.49,1178000,3096.03,1178000,0.00,0.00,2456.15,15742.95
2025-09-11T08:00:17.338Z,00:06:30.49,390.49,1178000,3016.72,1178000,0.00,0.00,2086.76,12863.63
2025-09-11T08:00:27.341Z,00:06:40.49,400.49,1178000,2941.37,1178000,0.00,0.00,1717.10,10057.58
2025-09-11T08:00:37.344Z,00:06:50.50,410.50,1178000,2869.70,1178000,0.00,0.00,1417.52,6878.41
2025-09-11T08:00:47.346Z,00:07:00.50,420.50,1178000,2801.44,1178000,0.00,0.00,918.27,3955.04
2025-09-11T08:00:57.348Z,00:07:10.50,430.50,1178000,2736.35,1178000,0.00,0.00,369.35,1575.11
2025-09-11T08:01:07.352Z,00:07:20.50,440.50,1178000,2674.21,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:01:17.354Z,00:07:30.51,450.51,1178000,2614.83,1178000,0.00,0.00,0.00,0.00
