timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-18T09:14:02.040Z,00:00:10.21,10.21,0,0.00,0,0.00,0.00,0.00,0.00
2025-09-18T09:14:12.052Z,00:00:20.22,20.22,16000,791.27,16000,1598.23,5083.53,799.11,2541.76
2025-09-18T09:14:22.072Z,00:00:30.24,30.24,45000,1488.31,45000,2895.66,11178.81,1497.96,5420.78
2025-09-18T09:14:32.100Z,00:00:40.26,40.26,68000,1688.83,68000,2293.34,14814.09,1696.81,7769.11
2025-09-18T09:14:42.118Z,00:00:50.28,50.28,91000,1809.74,91000,2295.68,19077.34,1816.58,10030.75
2025-09-18T09:14:52.138Z,00:01:00.30,60.30,123000,2039.63,123000,3193.15,23665.59,2046.01,12303.23
2025-09-18T09:15:02.158Z,00:01:10.32,70.32,159000,2261.23,159000,3596.17,28305.30,2267.46,14589.24
2025-09-18T09:15:12.167Z,00:01:20.34,80.34,193000,2402.38,193000,3392.77,28819.20,2408.12,16367.98
2025-09-18T09:15:22.181Z,00:01:30.34,90.34,228000,2523.70,228000,3497.67,28729.70,2529.19,17741.51
2025-09-18T09:15:32.202Z,00:01:40.36,100.36,279000,2780.02,279000,5092.16,32743.04,2785.48,19241.66
2025-09-18T09:15:42.210Z,00:01:50.38,110.38,313000,2835.65,313000,3392.74,32011.17,3124.76,22442.78
2025-09-18T09:15:52.215Z,00:02:00.39,120.39,350000,2907.30,350000,3697.65,29750.14,3334.70,24909.44
2025-09-18T09:16:02.224Z,00:02:10.39,130.39,387000,2967.98,387000,3698.10,28169.81,3414.94,26608.54
2025-09-18T09:16:12.237Z,00:02:20.40,140.40,422000,3005.68,422000,3496.91,27610.89,3535.30,27888.22
2025-09-18T09:16:22.265Z,00:02:30.42,150.42,461000,3064.85,461000,3894.37,28681.85,3695.17,28848.67
2025-09-18T09:16:32.281Z,00:02:40.45,160.45,500000,3116.27,500000,3887.11,31031.48,3764.56,29585.26
2025-09-18T09:16:42.300Z,00:02:50.46,170.46,541000,3173.77,541000,4095.35,26960.36,3814.48,29450.76
2025-09-18T09:16:52.309Z,00:03:00.48,180.48,574000,3180.42,574000,3293.56,29000.93,3804.56,29468.94
2025-09-18T09:17:02.322Z,00:03:10.49,190.49,614000,3223.34,614000,3997.53,27220.87,3854.55,29318.05
2025-09-18T09:17:12.336Z,00:03:20.50,200.50,655000,3266.83,655000,4093.99,26069.00,3754.73,28650.65
2025-09-18T09:17:22.345Z,00:03:30.51,210.51,687000,3263.45,687000,3195.64,25478.22,3735.02,27997.36
2025-09-18T09:17:32.357Z,00:03:40.52,220.52,727000,3296.73,727000,3996.79,30030.38,3764.93,28025.38
2025-09-18T09:17:42.366Z,00:03:50.54,230.54,766000,3322.70,766000,3894.69,26082.02,3784.59,27816.60
2025-09-18T09:17:52.375Z,00:04:00.54,240.54,802000,3334.13,802000,3597.51,27260.10,3794.65,27781.52
2025-09-18T09:18:02.387Z,00:04:10.55,250.55,837000,3340.62,837000,3496.39,23831.27,3754.86,27296.46
2025-09-18T09:18:12.403Z,00:04:20.56,260.56,877000,3365.78,877000,3995.47,25779.23,3765.69,26771.24
2025-09-18T09:18:22.416Z,00:04:30.58,270.58,919000,3396.40,919000,4193.12,25046.78,3775.47,26579.88
